title,year,venue,music,lyrics,book,notes
André Charlot's Revue of 1924,1924,Revue,Various artists,Various artists,N/A,
Andy Hardy's Private Secretary,1941,Musical film,,,,
Angel,1978,Broadway,Gary Geld,Peter Udell,Udell and Ketti Frings,
Angel in the Wings,1947,Revue,Bob Hilliard and Carl Sigman,Hilliard and Sigman,,
Angelika,2007,Czech musical,,,,
"Angélique, Marquise des Anges",1995,French musical,,,,
Angry Housewives,1983,Off-Broadway,Chad Henry and A.M. Collins,Henry and Collins,,
Ani: A Parody,2014,Off-Broadway,Matt and Nick Lang with music and lyrics by Clark Baxtresser & Pierce Siebers,,,
Animal Crackers,1928,Broadway,Bert Kalmar and Harry Ruby,Kalmar and Ruby,George S. Kaufman and Morrie Ryskind,
Ankles Aweigh,1955,Broadway,Sammy Fain,Dan Shapiro,Guy Bolton and Eddie Davis,
Anne and Gilbert,2005,Canadian musical,"Jeff Hochhauser, Nancy White and Bob Johnston","Hochhauser, White and Johnston","Hochhauser, White and Johnston","Based on Lucy Maud Montgomery's novels, Anne of Avonlea and Anne of the Island."
Anne of Green Gables,1965,Canadian musical,Norman Campbell,"Don Harron, Campbell, Elaine Campbell and Mavor Moore",Harron,"Based on Lucy Maud Montgomery's novel, Anne of Green Gables."
Annie,1977,Broadway,Charles Strouse,Martin Charnin,Thomas Meehan,"Notable songs: ""Tomorrow"" and ""A Hard-Knock Life""."
Annie Get Your Gun,1946,Broadway,Irving Berlin,Berlin,Herbert Fields and Dorothy Fields,"Notable song: ""There's No Business Like Show Business""."
Annie Warbucks,1993,Off-Broadway,Charles Strouse,Martin Charnin,Thomas Meehan,Sequel to Annie.
Anya,1965,Broadway,Robert Wright and George Forrest,Wright and Forrest,George Abbott and Guy Bolton,
Anyone Can Whistle,1964,Broadway,Stephen Sondheim,Sondheim,Arthur Laurents,
Anything Goes,1934,Broadway,Cole Porter,Porter,Guy Bolton and P.G. Wodehouse,"Notable songs: ""Anything Goes"", ""You're the Top"" and ""I Get a Kick out of You""."
Applause,1970,Broadway,Charles Strouse,Lee Adams,Betty Comden and Adolph Green,
Apple Blossoms,1919,,,,,
The Apple Tree,1966,Broadway,Jerry Bock,Sheldon Harnick,"Bock, Harnick and Jerome Coopersmith",
April in Paris,1952,Musical film,Vernon Duke and LeRoy Prinz,Various artists,Jack Rose,
April Love,1957,Musical film,Sammy Fain and Alfred Newman,Various artists,George Agnew,
Arabian Nights,1954,Off-Broadway,Carmen Lombardo and John Jacob Lœb,Lombardo and Lœb,,
The Ark,1998,Off-Broadway,Michael McLean,McLean and Kevin Kelly,McLean and Kelly,
The Arcadians,1909,West End,Lionel Monckton and Howard Talbot,Arthur Wimperis,Mark Ambient and Alexander M. Thompson,
Are You With It?,1945,Broadway,Harry Revel,Arnold B. Horwitt,Sam Perrin and George Balzer,"Based on the novel, Slightly Perfect by George Malcolm-Smith."
Argentine Nights,1940,Musical film,Frank Skinner,Various artists,J. Robert Bren and Gladys Atwater,
The Aristocats,1970,Animated film,George Bruns,Various Artists,"Ken Anderson, Larry Clemmons, Eric Cleworth, Vance Garry, Julius Svendsen, Frank Thomas, and Ralph Wright",Based on characters created by Tom McGowan and Tom Rowe
Arms and the Girl,1950,Broadway,Morton Gould,Dorothy Fields,Herbert Fields and Fields,
Around the World,1946,Broadway,Cole Porter,Porter,Orson Welles,
Arthur! Arthur!,1969,Musical film,Harry Robertson,Various artists,Julian Symons,A musical retelling of Dudley Moore's Arthur films.
Artists and Models,1955,Musical film,Harry Warren and Jack Brooks,Various Artists,"Frank Tashlin, Herbert Baker, and Hal Kanter","Notable song: ""Innamorata""."
As Long as They're Happy,1954,Musical film,Stanley Black,Alan Melville,Melville,
As the Girls Go,1948,Broadway,Jimmy McHugh,Harold Adamson,William Roos,
As Thousands Cheer,1933,Broadway,Irving Berlin,Berlin,Moss Hart,
Aspects of Love,1990,West End,Andrew Lloyd Webber,Don Black and Charles Hart,Lloyd Webber,"Notable song: ""Love Changes Everything""."
Assassins,1990,Off-Broadway,Stephen Sondheim,Sondheim,John Weidman,Premiered on Broadway in 2004.
At Home Abroad,1935,Broadway revue,Arthur Schwartz,Howard Dietz,N/A,
At Long Last Love,1975,Musical film,Cole Porter,Porter,Peter Bogdanovich,
At the Circus,1939,Musical film,Harold Arlen,Arlen,Irving Brecher,
At the Drop of a Hat,1956,Off-West End revue,Donald Swann,Michael Flanders,Swann and Flanders,Produced on Broadway in 1959.
At the Drop of Another Hat,1963,Off-West End revue,Donald Swann,Michael Flanders,Swann and Flanders,Produced on Broadway in 1966.
At War with the Army,1950,Musical film,Joseph J. Lilley,Lilley,James Allardice and Fred Finklehoffe,
Athena,1954,Musical Film,Hugh Martin and Ralph Blane,Martin and Blane,William Ludwig and Leonard Spigelgass,
The Athenian Touch,1964,Off-Broadway,Willard Straight,David Eddy,J. Albert Fracht and Arthur Goodman,
Aunt Sally,1933,Musical film,Harry M. Woods,Woods,Guy Bolton,
Autant en emporte le vent,2003,French musical,Gérard Presgurvic,Presgurvic,,Based on the novel Gone with the Wind
Avenue Q,2003,Broadway,Robert Lopez and Jeff Marx,Lopez and Marx,Jeff Whitty,"Notable songs: ""It Sucks to Be Me"", ""Everyone's a Little Bit Racist"" and ""There's a Fine, Fine Line""."
Babes in Arms,1937,Broadway,Richard Rodgers,Lorenz Hart,Rodgers and Hart,"Notable songs: ""Where or When"", ""My Funny Valentine"", ""The Lady Is a Tramp"", ""Johnny One Note"" and ""I Wish I Were in Love Again""."
Babes in Toyland,1903,Broadway,Victor Herbert,Glen MacDonough,MacDonough,
Babes on Broadway,1941,Musical film,Burton Lane and Roger Edens,E.Y. Harburg and Ralph Freed,,
Babette,1903,Broadway,Victor Herbert,Harry B. Smith,Smith,
Baby,1983,Broadway,David Shire,"Richard Maltby, Jr.",Sybille Pearson,
Baby It's You!,2011,Broadway,Various Artists,Various Artists,Floyd Mutrox and Colin Escott,
Bad Girls: The Musical,2006,West End,Kath Gotts,Gotts,Maureen Chadwick and Ann McManus,Based on the ITV1 television series Bad Girls.
Back to the 80's,2004,Australian musical,Neil Gooding,Gooding,Gooding,
Bad Habits of 1926,1926,Broadway revue,Manning Sherwin,"Arthur Herzog, Jr.",N/A,
Bajour,1964,Broadway,Walter Marks,Marks,Ernest Kinoy,"Based on Joseph Mitchell's short stories, The Gypsy Women and The King of the Gypsies."
Baker Street,1965,Broadway,"Marian Grudeff, Raymond Jessel and Jerry Bock","Grudeff, Jessel and Sheldon Harnick",Jerome Coopersmith,
The Baker's Wife,1989,West End,Stephen Schwartz,Schwartz,Joseph Stein,"Aimed at a Broadway run in 1976, but closed during try-outs."
The Balkan Princess,1910,West End,Paul Rubens,Rubens and Arthur Wimperis,Frederick Lonsdale and Frank Curzon,
Ball im Savoy,1932,German operetta,Paul Abraham,Alfred Grünwald and Fritz Löhner-Beda,Abraham,
Ballad for Bimshire,1963,Off-Broadway,Irving Burgie,Burgie,Burgie and Loften Mitchell,
Ballroom,1978,Broadway,Billy Goldenberg,Alan Bergman and Marilyn Bergman,Jerome Kass,
Bambi,1942,Animated film,Frank Churchill and Edward H. Plumb,Churchill and Plumb,Larry Morey,
Band Geeks,2014,Off-Off-Broadway,Tommy Newman and Mark Allen,Newman and Gaby Alter,Alter,
Band Waggon,1940,Musical film,Various artists,Various artists,,
The Band Wagon,1931,Broadway revue,Arthur Schwartz,Howard Dietz,N/A,"Notable songs: ""I Love Louisa"", ""Hoops"" and ""Dancing in the Dark""."
Bandanna Land,1908,Broadway,Will Marion Cook,Jesse A. Shipp and Alex Rogers,Shipp and Rogers,
Banjo Eyes,1941,Broadway,Vernon Duke,John La Touche and Harold Adamson,Joseph Quinlan and Izzy Ellinson,
Bar Mitzvah Boy,1978,West End,Jule Styne,Don Black,Jack Rosenthal,
Barbarella,2004,Austrian musical,Dave Stewart,Stewart,Stewart,Based on the 1968 film.
Bare: A Pop Opera,2000,Off-Broadway,Damon Intrabartolo,"Jon Hartmere, Jr.","Intrabartolo and Hartmere, Jr.","Notable song: ""Portrait of a Girl""."
Bare Facts of 1926,1926,Broadway revue,Charles M. Schwab,Henry Myers,Stuart Hamill,
Barefoot Boy with Cheek,1947,Broadway,Sidney Lippman,Sylvia Dee,Max Shulman,
The Barkleys of Broadway,1949,Musical film,Harry Warren and George Gershwin,Ira Gershwin,"Betty Comden, Adolph Green and Sidney Sheldon",
Barnum,1980,Broadway,Cy Coleman,Michael Stewart,Mark Bramble,
Baron Trenck,1912,Broadway,Felix Albini,Frederick F. Schrader,Henry Blossom,
The Baroness Fiddlesticks,1904,Broadway,Emil Bruguiere,George De Long,De Long,
Bat Boy: The Musical,2001,Off-Broadway,Laurence O'Keefe,O'Keefe,Keythe Farley and Brian Flemming,
Bats,1983,Australian musical,Ian Dorricott,Simon Denver,Dorricott and Denver,
The Battle of Paris,1929,Musical film,"Cole Porter, Jay Gorney and Dick Howard",Howard Dietz and Porter,Gene Markey,
Be Yourself,1930,Musical film,Hugo Riesenfeld,Riesenfeld,Joseph Jackson,
Beat the Band,1942,Musical TV show,Various artists,Various artists,N/A,
Beatlemania,1977,Broadway revue,The Beatles,The Beatles,"Bob Gill, Robert Rabinowitz and Lynda Obst",
Beautiful: The Carole King Musical,2014,Broadway,"Gerry Goffin, Carole King, Barry Mann and Cynthia Weil","Goffin, King, Mann and Weil",Douglas McGrath,
Beautiful Dreamer,1961,Off-Broadway,,,,
The Beautiful Game,2000,West End,Andrew Lloyd Webber,Ben Elton,Lloyd Webber and Elton,
Beauty and the Beast,1994,Broadway,Alan Menken,Howard Ashman and Tim Rice,Linda Woolverton,"Based on animated Walt Disney film of the same name. Notable songs: ""Be Our Guest"" and ""Beauty and the Beast""."
The Beauty Shop,1914,Off-Broadway,Charles J. Gebest,Rennold Wolf,,
The Beauty Spot,1909,Off-Broadway,Reginald De Koven,Joseph W. Herbert,Herbert,
Beauty World,1988,Singaporean musical,Dick Lee,Michael Chiang,Chiang,
Because You're Mine,1952,Musical film,Johnny Green,Green,Ruth Brooks Flippen and Sy Gomberg,
Bedknobs and Broomsticks,1971,Animated film,Richard M. Sherman and Robert B. Sherman,Irwin Kostal,Bill Walsh and Don DaGradi,"Notable songs: ""The Age of Not Believing"" and ""Substitutiary Locomotion""."
A Bedtime Story,1933,Musical film,Ralph Rainger,Rainger,Benjamin Glazer and Nunnally Johnson,
The Beggar Student,1882,German operetta,Carl Millöcker,Camillo Walzel and Richard Genée,Millöcker,
Beggar's Holiday,1946,Broadway,Duke Ellington,John La Touche,La Touche,
The Beggar's Opera,1728,West End opera,John Gay,Gay,Gay,
Behind the Iron Mask,2005,West End,John Robinson,Robinson,Colin Scott and Melinda Walker,The show draws inspiration from the Man in the Iron Mask.
Bel-Ami,2014,Off-West End,Alex Loveless,Loveless,Loveless,A contemporary musical adaptation of the book of the same name.
Bell Bottom George,1943,Musical film,Harry Bidgood,Bidgood,Edward Dryhurst and Peter Fraser,
Belles belles belles,2003,French musical,"Claude François, Jean-Pierre Bourtayre, Carolin Petit","Claude François, Daniel Moyne","Daniel Moyne, Jean-Pierre Bourtayre",Jukebox musical based on songs by Claude François.
La belle Hélène,1864,Paris opera bouffe,Jacques Offenbach,Henri Meilhac and Ludovic Halévy,Offenbach,
La Belle Meunière,1948,Musical film,Tony Aubin,Aubin,Marcel Pagnol,
The Belle of Brittany,1908,Opera,Howard Talbot and Marie Horne,Percy Greenbank et al.,Leedham Bantock and P.J. Barrow,
The Belle of New York,1897,Broadway,Gustave Kerker,Hugh Morton,Morton,
Belle of the Nineties,1934,Musical film,Arthur Johnston,Johnston,Mae West,
Belle of the Yukon,1944,Musical film,Arthur Lange,Lange,Houston Branch,
Bells Are Ringing,1956,Broadway,Jule Styne,Betty Comden and Adolph Green,Comden and Green,A film was released in 1960.
Belmont Varieties,1932,Broadway revue,Various artists,Various artists,N/A,
The Beloved Vagabond,1936,Musical film,Darius Milhaud,Milhaud,William John Locke,
Ben Franklin in Paris,1964,Broadway,"Mark Sandrich, Jr. and Jerry Herman",Sidney Michaels,Michaels,
Bernarda Alba,2006,Off-Broadway,Michael John LaChiusa,LaChiusa,LaChiusa,
Bernardine,1957,Musical film,Lionel Newman and Johnny Mercer,Newman and Mercer,Mary Chase and Theodore Reeves,
Besame Mucho El Musical,2005,Mexican Jukebox musical,José María Vitier (arranger),Various artists,"Consuelo Garrido, Lorena Maza and Victor Weinstock",Based on Bolero songs of the 1920s Mexico.
Best Foot Forward,1941,Broadway,Hugh Martin and Ralph Blane,Martin and Blane,John Cecil Holm,
The Best Little Whorehouse Goes Public,1994,Broadway,Carol Hall,Hall,Larry L. King and Peter Masterson,
The Best Little Whorehouse in Texas,1978,Broadway,Carol Hall,Hall,Larry L. King and Peter Masterson,
The Best Things in Life Are Free,1956,Musical film,Lionel Newman,Lew Brown and Buddy DeSylva,William Bowers and Phoebe Ephron,
Betjemania,1976,West End,John Gould,John Betjeman,David Benedictus and Gould,
Bette Midler's Clams on the Half Shell,1975,Broadway revue,Various artists,Various artists,"Bruce Vilanch, Bill Hennessy and Jerry Blatt",
Bette! Divine Madness,1979,Broadway revue,Various artists,Various artists,"Jerry Blatt, Bette Midler and Bruce Vilanch",
The Better 'Ole,1917,West End,Herman Darewski,Percival Knight and James Heard,Bruce Bairnsfather and Arthur Elliot,
Better Tunes,1922,Broadway revue,,,,
Betty,1915,West End,Paul Rubens and Ernest Steffan,Adrian Ross and Rubens,Frederick Lonsdale and Gladys Unger,
Betty Blue Eyes,2011,West End,George Stiles,Anthony Drewe,Ron Cowen and Daniel Lipman,Based on A Private Function by Alan Bennett and Malcolm Mowbray.
Between the Devil,1937,Broadway,Arthur Schwartz,Howard Dietz,Dietz,
Betwixt!,2008,Off West End,Ian McFarlane,Mcfarlane,Mcfarlane,
Beyond the Fringe,1961,West End revue,Various artists,Various artists,"Alan Bennett, Peter Cook, Jonathan Miller and Dudley Moore",
Bible Women,1995,Off-Broadway,Elizabeth Swados,Swados,Swados,
Big: the musical,1996,Broadway,David Shire,"Richard Maltby, Jr.",John Weidman,
The Big Bad Musical,2009,Off-Broadway,Bill Francoeur,Francoeur,Alec Strum,
The Big Beat,1958,Musical film,Henry Mancini,Mancini,David P. Harmon,
Big Boy,1925,Broadway,James F. Hanley and Joseph Meyer,Buddy DeSylva,Harold R. Atteridge,
The Big Broadcast,1932,Musical film,Various artists,Various artists,William Ford Manley,
The Big Broadcast of 1936,1935,Musical film,Various artists,Various artists,"Walter DeLeon, Francis Martin and Ralph Spence",
The Big Broadcast of 1937,1936,Musical film,Various artists,Various artists,Walter DeLeon and Francis Martin,
The Big Broadcast of 1938,1938,Musical film,Various artists,Various artists,"Walter DeLeon, Francis Martin and Ken Englund",
Big Fella,1937,Musical film,G. H. Clutsam and Will Grosz,Clutsam and Grosz,Ingram D'Abbes and Fenn Sherie,
Big Fish,2013,Broadway,Andrew Lippa,Lippa,John August,Based on the film of the same name.
The Big Gay Musical,2009,Musical film,Rick Crom,Crom,Fred M. Caruso,
Big River,1985,Broadway,Roger Miller,Miller,William Hauptman,
Billboard Girl,1932,Musical film,,,"Lewis R. Foster, Harry McCoy, Earle Rodney and John A. Waldron",
Billie,1928,Broadway,George M. Cohan,Cohan,Cohan,
Billie,1965,Musical film,Dominic Frontiere,Frontiere,Ronald Alexander,
Billion Dollar Baby,1945,Broadway,Morton Gould,Betty Comden and Adolph Green,Comden and Green,
Billy,1974,West End,John Barry,Don Black,Dick Clement and Ian La Frenais,
Billy Elliot the Musical,2004,West End,Elton John,Lee Hall,Hall,
The Billy Barnes Revue,1959,Off-Broadway revue,Billy Barnes,Barnes,Bob Rodgers,
Billy Noname,1970,Off-Broadway,Johnny Brandon,Brandon,William Wellington Mackey,
The Bing Boys Are Here,1916,West End revue,Nat D. Ayer,Clifford Grey,"George Grossmith, Jr. and Fred Thompson",
The Bing Boys on Broadway,1918,West End revue,Nat D. Ayer,Clifford Grey,"George Grossmith, Jr. and Fred Thompson",
The Bing Girls Are There,1917,West End revue,Nat D. Ayer,Clifford Grey,"George Grossmith, Jr. and Fred Thompson",
The Biograph Girl,1980,West End,David Heneker,Heneker and Warner Brown,Brown,
Birds of Paradise,1987,Off-Broadway,David Evans,Winnie Holzman,Evans and Holzman,
Bitter Sweet,1929,West End operetta,Noël Coward,Coward,Coward,
Black and Blue,1985,French musical revue,Various artists,Various artists,N/A,
The Black Crook,1866,Broadway,"Thomas Baker, Giuseppe Operti and George Bickwell",Theodore Kennick,Charles M. Barras,
Blackbirds of 1928,1928,Broadway revue,Jimmy McHugh,Dorothy Fields,N/A,"Notable song: ""Doin' the New Low-Down""."
The Black Rider,1990,German musical,Tom Waits,Waits,William S. Burroughs,
Das Blaue Vom Himmel,1932,Musical film,Paul Abraham,Abraham,Max Kolpé and Billy Wilder,
Bleach,2005,Japanese anime musical,Shoichi Tama,Naoshi Okumura,Okumura,
Bless the Bride,1947,West End,Vivian Ellis,A. P. Herbert,Herbert,
Bless You All,1950,Broadway revue,Harold Rome,Rome,N/A,
Blitz!,1962,West End,Lionel Bart,Bart,Bart and Joan Maitland,
The Blonde in Black,1903,Broadway,Gustav Kerker,Harry B. Smith,Smith,
Die Blonde Nachtigall,1930,Musical film,Willy Kollo and Otto Stransky,Kollo and Stransky,Walter Schlee and Walter Wassermann,
Blondel,1983,West End,Stephen Oliver,Tim Rice,Rice,
Ein blonder Traum,1932,Musical film,Werner R. Heymann,Heymann,Walter Reisch and Billy Wilder,
Blondie Goes Latin,1941,Musical film,Leo Arnaud,Arnaud,Karen DeWolf and Richard Flournoy,
Blood Brothers,1983,West End,Willy Russell,Russell,Russell,"Notable songs: ""Marilyn Monroe"" and ""Tell Me It's Not True""."
Bloody Bloody Andrew Jackson,2008,Off-Broadway,Michael Friedman,Friedman,Alex Timbers,
